OPEN 6.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Dec 16 2021 09:50:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,"0,159999996423721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/2x3 LED.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,long._I_R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:55:59 Lamp: ParIn ->  1500 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:59:05 Lamp: ParIn ->  1500 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:59:05 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:59:05 Coolers: Tleaf -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:59:05 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:59:14 Lamp: ParIn ->  1500 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:59:14 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:59:14 Coolers: Tleaf -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:59:15 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:05:22 Lamp: ParIn ->  2000 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:10:20 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:10:39,"1356,5000279285",0,"16,3603686008997","0,22378490868724","257,919012624751","4,17232809531657","1,71529681363328","29,9171714782715","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,0144157409668","29,9171714782715","30,3892822265625","399,926727294922","390,215942382813","25,6112899780273","27,8010349273682","54,5511627197266","59,2152404785156","500,154113769531","1999,81665039063","0,12448662519455","90,8212738037109","3,47814440727234","0,310383349657059",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,8524226108759","0,00417232809531657","303,067171478271","303,164415740967","319,970656910598","1,12200357632957","4,24022221879831","46,6875440214874","18,8865090941192","29,9657936096191","4,2520860593127","0,212687939308121","2,52492540516504","1,72716065414766","0,133884319722755","23,4245332647753","0,660964826423533","60,0656492736455","385,066531091022","0,0255201655564533"
2,10:10:40,"1358,00002789497",0,"16,4330638873795","0,223591149085635","257,273673992468","4,17355082736678","1,71718396172883","29,9246234893799","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,0148239135742","29,9246234893799","30,3896980285645","399,966094970703","390,216674804688","25,6102428436279","27,8004360198975","54,5473022460938","59,2121963500977","500,198608398438","1999,84008789063","0,266450732946396","90,820686340332","3,47814440727234","0,310383349657059","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85258740579486","0,00417355082736678","303,07462348938","303,164823913574","319,974406910515","1,12089369569317","4,2420386416164","46,7078461147081","18,9074100948107","29,9697237014771","4,25304626741962","0,212512911918872","2,52485467988758","1,72819158753204","0,133773351881584","23,3657716492948","0,659309790185772","60,0367078143931","385,044382736908","0,0256226840160391"
3,10:10:42,"1360,00002785027",0,"16,4843740755763","0,223927356064566","257,09046503478","4,17834439580396","1,7166891299765","29,9210872650147","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,0141887664795","29,9210872650147","30,3890705108643","400,011932373047","390,234405517578","25,6042232513428","27,7967967987061","54,5356750488281","59,2057456970215","500,231323242188","1999,78735351563","0,235880076885223","90,8193664550781","3,47814440727234","0,310383349657059","0,666666686534882","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85270857188068","0,00417834439580396","303,071087265015","303,164188766479","319,965969410703","1,11938364092074","4,24117660471553","46,6990331496458","18,9022363509398","29,9676380157471","4,2525366648723","0,212816605629642","2,52448747473903","1,72804919013327","0,133965895357057","23,3487931561001","0,658810349368847","60,0433387300121","385,045963614246","0,0257054209082335"
Remark=,"""10:11:04 Lamp: ParIn ->  1700 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:13:45 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10:13:58,"1556,00002805144",0,"16,3626674621435","0,217844642908873","254,721257693933","4,1123088008847","1,73469190074345","29,9100666046143","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,0165042877197","29,9100666046143","30,3870830535889","399,989074707031","390,290771484375","25,4094982147217","27,5679836273193","54,1157264709473","58,7127456665039","500,218353271484","1700,75158691406","0,246790945529938","90,8227157592773","3,4679958820343","0,312377393245697",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,852660534953","0,0041123088008847","303,060066604614","303,16650428772","272,120247823888","0,753075390824411","4,23849104178388","46,6677417246349","19,0997580973155","29,963285446167","4,25147335843957","0,207315122388318","2,50379914104044","1,74767421739913","0,130478536727803","23,1344763853817","0,652644838936783","59,5496718630241","385,140636628078","0,0252996278633505"
5,10:13:59,"1557,00002802908",0,"16,5354486184666","0,218208591544269","253,662826374946","4,11715633465265","1,73398610535516","29,9073333740234","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,0170707702637","29,9073333740234","30,3882999420166","400,126403808594","390,333709716797","25,4073944091797","27,5684261322022","54,1094818115234","58,7117729187012","500,217681884766","1700,7373046875","0,246792316436768","90,8227081298828","3,4679958820343","0,312377393245697",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85265804833557","0,00411715633465264","303,057333374023","303,167070770264","272,117962667689","0,751633525290673","4,23782522556039","46,6604147004734","19,0919885682713","29,9622020721436","4,25120873273303","0,207644711778052","2,50383912020523","1,74736961252779","0,130687425081048","23,0383448432528","0,649861439225909","59,5631871803755","385,12919214706","0,0255733411347621"
6,10:14:00,"1558,00002800673",0,"16,7644559800679","0,218595993358667","252,224961923507","4,12393384743021","1,7339158625053","29,907657623291","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,017972946167","29,907657623291","30,390495300293","400,325805664063","390,408294677734","25,4054660797119","27,5699672698975","54,1027679443359","58,7122268676758","500,237213134766","1700,75158691406","0,236963093280792","90,8230438232422","3,4679958820343","0,312377393245697","0,333333343267441","-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85273038629725","0,00412393384743021","303,057657623291","303,167972946167","272,120247823888","0,749263398119491","4,23790420806455","46,6611118683962","19,0911445984987","29,962815284729","4,25135851471047","0,207995481729662","2,50398834555925","1,74737016915122","0,130909742432056","22,9078387700943","0,646054311247942","59,5690068623788","385,131697247055","0,0259298832181061"
Remark=,"""10:14:19 Lamp: ParIn ->  1400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:17:02 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10:17:14,"1752,00002807379",0,"15,6247534552561","0,206816663060479","255,136049062119","3,91233018241501","1,73458023020447","29,818868637085","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,2043704986572","29,818868637085","30,7385749816895","400,452026367188","391,189910888672","25,2696800231934","27,3242340087891","53,2425727844238","57,5714645385742","500,091888427734","1400,70764160156","0,116836026310921","90,8257522583008","3,36113095283508","0,304947704076767",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85219214665109","0,00391233018241501","302,968868637085","303,354370498657","224,113217646929","0,459913402133402","4,21632433893458","46,4221240573236","19,0978900485346","30,0116195678711","4,26329410233301","0,197302954493213","2,48174410873011","1,7815499936029","0,124135202844767","23,1729235842777","0,652205084948441","59,2502484087063","386,272033801874","0,0239668016976751"
8,10:17:15,"1753,00002805144",0,"15,546138254","0,206480754751423","255,602997159816","3,9101230502531","1,73629329427797","29,8254451751709","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,2046394348145","29,8254451751709","30,7359104156494","400,456878662109","391,237487792969","25,2692794799805","27,322696685791","53,2413711547852","57,5678405761719","500,087249755859","1400,6240234375","0,0622393861413002","90,826545715332","3,36113095283508","0,304947704076767",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85217496638519","0,0039101230502531","302,975445175171","303,354639434814","224,099838740978","0,459979008541159","4,21791945387612","46,4392807263187","19,1165840405277","30,0150423049927","4,26413226252315","0,196997216564089","2,48162615959815","1,782506102925","0,123941566194199","23,2155373065119","0,653319288500987","59,2220526187348","386,344354770008","0,0238304043097665"
9,10:17:16,"1754,00002802908",0,"15,4212645251419","0,206529063499514","256,662001785067","3,90916708425213","1,73548186049393","29,8211002349854","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,203519821167","29,8211002349854","30,7328662872314","400,424743652344","391,273498535156","25,2674293518066","27,3202152252197","53,2405281066895","57,5659141540527","500,120025634766","1400,65417480469","0,124482706189156","90,8259201049805","3,36113095283508","0,304947704076767",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85229635852714","0,00390916708425213","302,971100234985","303,353519821167","224,10466295962","0,460681230887961","4,21686554579061","46,427996995974","19,1077817707543","30,0123100280762","4,26346317073194","0,197041189163358","2,48138368529668","1,78207948543527","0,123969415639203","23,3115624681149","0,655965718981619","59,2316523390098","386,419669405959","0,0236382112842577"
Remark=,"""10:17:31 Lamp: ParIn ->  1100 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:20:51 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10:21:07,"1984,00002800673",0,"14,2113166693591","0,193292154641281","258,804207040034","3,78754399456221","1,79120934772952","29,9795513153076","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,4802703857422","29,9795513153076","31,0488777160645","400,039672851563","391,568023681641","25,1412601470947","27,1302642822266","52,1436004638672","56,2688407897949","500,1962890625","1100,17614746094","0,0196554567664862","90,8298873901367","3,26009941101074","0,302607297897339",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85257881566191","0,00378754399456221","303,129551315308","303,630270385742","176,028179659214","0,122899385327146","4,25544819734881","46,8507483563269","19,7204840741004","30,2299108505249","4,31703761846294","0,184956962049787","2,46423884961929","1,85279876884365","0,11631914310958","23,5071569815399","0,660943160288419","58,1758689626886","387,095024551023","0,0213579520249021"
11,10:21:08,"1985,00002798438",0,"14,1855867143976","0,193268547469239","259,017691273906","3,78751203557054","1,79141004683509","29,9795455932617","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,4799728393555","29,9795455932617","31,0476417541504","400,037231445313","391,579467773438","25,1389865875244","27,1279754638672","52,1398887634277","56,2651824951172","500,197082519531","1100,26025390625","0,163791209459305","90,8301010131836","3,26009941101074","0,302607297897339",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,8525817543916","0,00378751203557054","303,129545593262","303,629972839355","176,041636690163","0,122992208411889","4,25544679850132","46,8506227674861","19,7226473036189","30,2297592163086","4,31700008203245","0,184935346854443","2,46403675166622","1,85296333036623","0,116305464566191","23,5266030626105","0,661469031424728","58,1710010951199","387,114567122986","0,0213164228468824"
12,10:21:09,"1986,00002796203",0,"14,2528344197478","0,193184036610367","258,375221762101","3,78808595766047","1,79242039637533","29,9832973480225","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,4805030822754","29,9832973480225","31,0487575531006","400,056762695313","391,562133789063","25,1375846862793","27,126989364624","52,1353225708008","56,261344909668","500,168823242188","1100,27917480469","0,0567809380590916","90,8299713134766","3,26009941101074","0,302607297897339",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85247709040329","0,00378808595766047","303,133297348022","303,630503082275","176,044664033845","0,122493379864347","4,25636406218511","46,8607883569109","19,7337989922869","30,2319002151489","4,317530103887","0,184857965167963","2,46394366580978","1,85358643807722","0,116256495995451","23,4682139807647","0,659857528259587","58,1554407125183","387,076066983879","0,021413875405464"
Remark=,"""10:21:24 Lamp: ParIn ->  500 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:25:59 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10:26:12,"2289,50002806261",0,"10,7410529730838","0,15262991660937","266,61095393009","3,05203198761287","1,81238546840618","29,8513793945313","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,355432510376","29,8513793945313","30,8569412231445","399,968231201172","393,520782470703","24,9463882446289","26,5504093170166","52,1161994934082","55,4672050476074","500,099304199219","499,654174804688","0,32102108001709","90,8396301269531","3,29994320869446","0,314559996128082",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85221961247092","0,00305203198761287","303,001379394531","303,505432510376","79,9446661818474","-0,397587959153733","4,22421483048318","46,5018937723505","19,9514844553339","30,1034059524536","4,28582052941479","0,147385173834921","2,411829362077","1,87399116733779","0,0925730079060898","24,2188404428035","0,67750158519249","56,9989783124536","390,140045715037","0,0156925455920232"
14,10:26:13,"2290,50002804026",0,"10,7831553122347","0,152925707109689","266,446455185409","3,05032080658073","1,80802611150159","29,832986831665","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,3560352325439","29,832986831665","30,8689956665039","400,033294677734","393,563934326172","24,9463500976563","26,5493431091309","52,1141242980957","55,4628562927246","500,140014648438","499,571685791016","0,214019954204559","90,8392791748047","3,29994320869446","0,314559996128082",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,8523703919098","0,00305032080658073","302,982986831665","303,506035232544","79,9314679399549","-0,395222312079257","4,2197493020996","46,4529148671404","19,9035717580095","30,0945110321045","4,28363298807579","0,147660967041347","2,41172319059802","1,87190979747777","0,0927470958657286","24,2038039277245","0,677009329225243","57,0609878235669","390,169945897152","0,0157699869106076"
15,10:26:13,"2291,50002801791",0,"10,8202489454467","0,153413271746896","266,477488936172","3,05007107021032","1,8023891268536","29,8091049194336","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,3562393188477","29,8091049194336","30,8889694213867","400,091094970703","393,601898193359","24,9448528289795","26,5476684570313","52,1103172302246","55,4586296081543","500,1552734375","499,560089111328","0,258789151906967","90,8391647338867","3,29994320869446","0,314559996128082",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85242690594237","0,00305007107021032","302,959104919434","303,506239318848","79,9296124712464","-0,3927946176405","4,21395715512247","46,389210727193","19,8415422701617","30,0826721191406","4,28072293556533","0,148115489089486","2,41156802826887","1,86915490729646","0,0930340092505958","24,2065925153454","0,677022875548389","57,1421832425217","390,196234576673","0,0158456846371469"
Remark=,"""10:26:28 Lamp: ParIn ->  200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:29:24 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
